,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
727,727,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,1206453465033166848,1206453465033166848,1576475895000,2019-12-16,09:28:15,430,971264702612430850,boursenews_ir,بورس نیوز,,"#شتران را هم کار خود را مثبت آغاز کرد و در قیمت ۵۶۹ تومان متقاضی دارد و سبزپوش است 

#نبض_بازار",[],[],[],0,0,0,"['#شتران', '#نبض_بازار']",[],https://twitter.com/boursenews_ir/status/1206453465033166848,False,,0,,,,,,,"[{'user_id': '971264702612430850', 'username': 'boursenews_ir'}]",,,,,0.8481312394142151
728,728,728.0,728.0,728.0,728.0,728.0,728.0,728.0,728.0,728.0,728.0,728.0,1207376836897972224,1207376836897972224,1576696044000,2019-12-18,22:37:24,430,1194228385918177281,maqsoudnaiimi,Maqsoud Naiimi,,"و #شتران #چاق را 
برای شما از #علامت های خدا قرار دادیم
در آنها برای شما #خیر است
پس نام #خدا را 
بر آنها در حالی که ایستاده اند
یاد کنید
و هنگامیکه #پهلو به زمین گذاشتند.
از آنها بخورید
و به #فقیر و #نیازمند بخورانید.
اینگونه آنها را برای شما #رام کردیم

#کتاب #قران",[],[],[],0,0,0,"['#شتران', '#چاق', '#علامت', '#خیر', '#خدا', '#پهلو', '#فقیر', '#نیازمند', '#رام', '#کتاب', '#قران']",[],https://twitter.com/MaqsoudNaiimi/status/1207376836897972224,False,,0,,,,,,,"[{'user_id': '1194228385918177281', 'username': 'MaqsoudNaiimi'}]",,,,,0.023014336824417114
729,729,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,729.0,1212285254687436800,1212285254687436800,1577866302000,2020-01-01,11:41:42,430,58731703,cto_manager,ᴉɑwwԍμqᴉ,,"#اپرداز
#شتران
#ذوب
هر کدوم از این سهم ها به ترتیب
44%, 11%,19%  سود دادن

یادگیری علم تکنیکال و فاند سهم ها بهتون کمک میکنه سود کنید در زمان کم...",[],[],[],0,0,1,"['#اپرداز', '#شتران', '#ذوب']",[],https://twitter.com/CTO_Manager/status/1212285254687436800,False,,0,,,,,,,"[{'user_id': '58731703', 'username': 'CTO_Manager'}]",,,,,0.461145281791687
730,730,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,1214755612657143811,1214755612657143811,1578455281000,2020-01-08,07:18:01,430,1153797557535019008,armn_candytea,آرمان ☕️,,نفت باز كشيد بالا  تازه داشت قيمت نفت برميگشت و بازار به تعادل ميرسيد🤦🏻‍♂️ بدبخت #بورس كه كشيده پايين مجال نميدن بكشه بالا ديگه😂 #شتران #شيران #شخارك #وصنعت #كگل pic.twitter.com/cSmMBHugkr,[],[],['https://pbs.twimg.com/media/ENutyNsWkAAa3E4.jpg'],0,0,4,"['#بورس', '#شتران', '#شيران', '#شخارك', '#وصنعت', '#كگل']",[],https://twitter.com/Armn_CandyTea/status/1214755612657143811,False,,0,,,,,,,"[{'user_id': '1153797557535019008', 'username': 'Armn_CandyTea'}]",,,,,0.6164165735244751
731,731,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,1214825863277096961,1214825863277096961,1578472030000,2020-01-08,11:57:10,430,2553838236,akbardastani,🇮🇷 اکبر داستانی (#ایران، #ملکِ_سلیمانی_ها است؛),,#سیگنال_خرید #بورس #شتران رو از دست ندهید,[],[],[],0,0,0,"['#سیگنال_خرید', '#بورس', '#شتران']",[],https://twitter.com/AkbarDastani/status/1214825863277096961,False,,0,,,,,,,"[{'user_id': '2553838236', 'username': 'AkbarDastani'}]",,,,,0.27926239371299744
732,732,732.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0,1214881703614976000,1214881703614976000,1578485344000,2020-01-08,15:39:04,430,1156479068839321600,exchange_tehran,Muhammad🇮🇷,,"گزارش ۱۳۹۸/۱۰/۱۸

بازار #سرمایه امروز شاهد افت ۵۳۵ واحدی در شاخص کل بود و درکانال ۳۵۳۸۰۷ قرار گرفت. 
در این بین بیشترین تأثیر منفی را سهم #فملی داشت و در مقابل #شتران  بیشترین تأثیر مثبت را در شاخص #بورس داشت.

#اقتصاد
#بورس",[],[],[],2,0,1,"['#سرمایه', '#فملی', '#شتران', '#بورس', '#اقتصاد', '#بورس']",[],https://twitter.com/exchange_tehran/status/1214881703614976000,False,,0,,,,,,,"[{'user_id': '1156479068839321600', 'username': 'exchange_tehran'}]",,,,,0.9715508222579956
733,733,733.0,733.0,733.0,733.0,733.0,733.0,733.0,733.0,733.0,733.0,733.0,1219527549753155590,1219527549753155590,1579593000000,2020-01-21,11:20:00,430,317963494,sharifi_amin,شريفى,,"گزارش های ۳ماهه سوم ،ناخن میکشه رو صورت سهام دارا :)))
#شپنا #شتران #شخارک #ذوب #کاوه #خودرو #خپارس #وبصادر #دی ... تا کجا برم؟",[],[],[],0,0,3,"['#شپنا', '#شتران', '#شخارک', '#ذوب', '#کاوه', '#خودرو', '#خپارس', '#وبصادر', '#دی']",[],https://twitter.com/sharifi_amin/status/1219527549753155590,False,,0,,,,,,,"[{'user_id': '317963494', 'username': 'sharifi_amin'}]",,,,,0.3554916381835937
734,734,734.0,734.0,734.0,734.0,734.0,734.0,734.0,734.0,734.0,734.0,734.0,1223899803752501248,1223895883646935040,1580635426000,2020-02-02,12:53:46,430,56182819,naive_ef,Naïve F,,برای #شتران هم این توصیه رو دارین؟,['itsmereza'],[],[],1,0,0,['#شتران'],[],https://twitter.com/naive_ef/status/1223899803752501248,False,,0,,,,,,,"[{'user_id': '56182819', 'username': 'naive_ef'}, {'user_id': '43885690', 'username': 'itsmereza'}]",,,,,0.16543793678283691
735,735,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,1224236403275567105,1224236403275567105,1580715678000,2020-02-03,11:11:18,430,58731703,cto_manager,ᴉɑwwԍμqᴉ,,"خب شتران عزیزم داری رشد میکینی اینم تحلیلش فعلا باید سود بدی :)))))
#شتران
#بورس 
وتجارت رو برای کی از دوستان گرفتم الان روی سود خیلی خوبیه 
بورس یادبگیرید واسه خودتون تحلیل کنین ببینین چقدر گفتم
حداقل #عرضه_اولیه بگیرین اینقدرم تو توییتر نباشین :)))) pic.twitter.com/U55XatneO1",[],[],['https://pbs.twimg.com/media/EP1cgqZWsAEGeAo.png'],2,0,5,"['#شتران', '#بورس', '#عرضه_اولیه']",[],https://twitter.com/CTO_Manager/status/1224236403275567105,False,,0,,,,,,,"[{'user_id': '58731703', 'username': 'CTO_Manager'}]",,,,,0.6593481302261353
736,736,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,1225661661102559232,1225661661102559232,1581055486000,2020-02-07,09:34:46,430,949005036390055937,hodl_hold,Emad Attarzadeh,,"#شتران موفق به شکست سقف کانال نزولی شده و می تواند به قیمت های 680، 720، 800 و 900 تومان دست یابد.

لینک ثبت نام و دریافت رایگان کد بورسی و سجام برای خرید عرضه اولیه و سهام 🔰
 https://ex.agah.com/ref/AE4540/login …
#بورس #سهام #شاخص #عرضه_اولیه #کد_بورسی #فرابورس #سود #کارگزاری #بازار_سرمایه pic.twitter.com/cT35i3NoLA",[],['https://ex.agah.com/ref/AE4540/login'],['https://pbs.twimg.com/media/EQJsx2pU0AIc7xS.png'],0,0,0,"['#شتران', '#بورس', '#سهام', '#شاخص', '#عرضه_اولیه', '#کد_بورسی', '#فرابورس', '#سود', '#کارگزاری', '#بازار_سرمایه']",[],https://twitter.com/Hodl_Hold/status/1225661661102559232,False,,0,,,,,,,"[{'user_id': '949005036390055937', 'username': 'Hodl_Hold'}]",,,,,0.9669162034988404
